verð,stærð,fjherb,fjklós,lyfta,fjhæð,fjbílast,fjbkar,fjsturt
19000000,102.6,3,1,0,1,0,1,0
15886000,55.5,1,1,0,1,1,0,1
18909000,83.3,2,1,0,1,0,1,0
14853000,54.0,1,1,0,1,0,1,0
13400000,78.1,2,1,2,1,0,1,0
13188000,70.4,1,1,1,1,0,1,1
19000000,104.2,2,1,1,1,1,1,1
9900000,33.5,0,1,0,1,0,1,0
13216000,65.0,1,1,2,1,0,1,0
38429000,107.5,2,1,1,1,1,1,1
49000000,153.8,4,1,2,1,2,1,1
25244000,120.2,3,1,0,1,0,1,1
25648000,84.6,2,1,0,1,1,1,0
16896000,69.2,2,1,0,1,0,1,0
15900000,71.6,1,1,0,1,0,1,1
21000000,87.2,2,1,0,1,0,0,1
17747000,83.5,3,1,0,1,0,1,0
41697000,107.1,6,1,0,2,0,1,0
19271000,76.9,1,1,0,1,0,0,1
19552000,54.6,1,1,0,1,0,1,1
16640000,42.9,1,1,1,1,0,0,1
14581000,69.1,1,1,2,1,0,1,0
22567000,83.2,2,1,2,1,1,0,1
21972000,99.8,3,1,0,1,0,1,0
32332000,73.4,1,1,0,1,0,0,1
35103000,112.9,3,1,0,1,0,1,0
22850000,94.7,3,1,0,1,0,1,0
20983000,79.6,2,1,0,1,1,0,1
27787000,102.4,2,1,0,1,0,1,1
26990000,119.0,3,1,0,1,0,1,1
11817000,54.3,1,1,0,1,0,1,0
26527000,86.6,2,1,0,1,0,1,0
19496000,87.8,2,1,0,1,0,1,0
8903000,53.2,1,1,0,1,0,1,0
30054000,98.1,2,1,1,1,1,1,0
22519000,93.5,3,1,0,1,0,1,1
24051000,115.6,2,1,0,1,0,1,0
19498000,72.0,1,1,0,1,0,0,1
15600000,59.6,1,1,0,1,0,1,0
4200000,75.0,1,1,0,1,0,1,0
23189000,87.1,3,1,0,1,0,1,0
14993000,55.9,1,1,0,1,0,0,1
29387000,99.9,4,2,0,2,0,1,0
20057000,94.9,2,2,0,2,0,1,0
22188000,79.2,2,1,0,1,0,1,0
