"kdagur","nuvirdi","teg_eign","svfn","byggar","mbstig","efstah","lyfta","ibm2","fjhaed","fjbilast","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","fjgeym","matssvaedi","undirmatssvaedi","ibteg"
"8.11.2011",31983,"Parhús",1604,1984,7,1,0,111,1,0,1,1,1,1,4,1,1,810,0,11
"4.11.2011",13000,"Íbúðareign",0,1949,7,3,0,"61.2",1,0,1,0,1,1,1,1,2,80,2,12
"8.11.2011",23986,"Íbúðareign",0,1989,7,9,2,"85.5",1,0,0,1,1,1,2,1,1,72,0,12
"7.11.2011",22335,"Íbúðareign",0,1975,7,5,0,"106.7",2,1,0,1,1,1,4,1,1,150,22,12
"9.11.2011",26925,"Íbúðareign",1100,1980,7,5,0,"122.1",2,0,1,0,1,1,2,2,0,400,0,12
"9.11.2011",99274,"Einbýlishús",1100,1980,7,1,0,"276.2",2,0,1,2,2,1,6,1,0,400,0,11
"9.11.2011",26501,"Íbúðareign",0,1998,7,3,0,"88.3",1,0,1,0,1,1,2,1,1,130,0,12
"9.11.2011",25353,"Íbúðareign",0,1967,7,2,0,"79.2",1,0,1,1,1,1,2,1,2,100,0,12
"8.11.2011",27924,"Íbúðareign",0,1945,7,3,0,"80.4",1,0,1,0,1,1,1,1,0,90,13,12
"14.11.2011",140750,"Einbýlishús",1300,2003,8,1,0,"230.9",1,0,1,2,2,1,5,2,2,520,0,11
"14.11.2011",72646,"Einbýlishús",1300,1991,7,2,0,"199.6",2,0,2,1,2,1,5,2,0,500,0,11
"15.11.2011",19472,"Íbúðareign",1400,2005,7,5,1,67,1,0,1,0,1,1,1,1,0,600,0,12
"11.11.2011",29377,"Íbúðareign",1000,1997,7,2,0,"99.7",1,0,1,1,1,1,3,0,1,320,0,11
"4.11.2011",17000,"Íbúðareign",1400,1973,7,4,0,"95.8",1,0,1,0,1,1,2,1,2,600,0,12
"8.11.2011",35309,"Íbúðareign",0,1952,7,2,0,"148.9",2,0,1,0,2,1,4,2,1,100,0,11
"11.11.2011",22469,"Íbúðareign",0,1995,7,3,0,88,1,0,1,0,1,1,3,1,1,130,0,12
"1.11.2011",26893,"Íbúðareign",0,1959,7,1,0,"93.3",1,0,1,0,1,1,2,2,0,100,1,11
"9.11.2011",18349,"Íbúðareign",0,1964,7,4,0,"82.7",1,1,1,0,1,1,2,1,2,91,28,12
"7.10.2011",15360,"Íbúðareign",0,1940,7,2,0,"56.5",1,0,0,1,1,1,2,1,0,72,3,12
"28.10.2011",36824,"Einbýlishús",0,1948,7,1,0,"159.9",1,0,0,1,2,2,3,3,0,100,0,11
"10.11.2011",108148,"Einbýlishús",0,1941,7,2,0,"352.3",3,0,0,1,2,1,9,3,4,25,0,11
"20.10.2011",21558,"Íbúðareign",0,1986,7,4,1,83,1,0,1,0,1,1,2,1,2,220,0,12
"10.11.2011",24389,"Íbúðareign",0,1963,7,4,0,"95.2",1,0,1,1,1,1,3,1,1,91,0,12
"26.10.2011",19484,"Íbúðareign",0,1943,7,3,0,"59.4",1,0,1,0,1,1,2,1,0,90,0,12
"11.11.2011",26964,"Íbúðareign",0,1956,7,4,0,"85.1",1,0,1,0,1,1,3,1,2,72,0,12
"16.11.2011",21311,"Einbýlishús",3000,1952,7,2,0,"133.1",3,0,1,0,2,1,3,1,1,3000,0,11
"14.11.2011",19307,"Íbúðareign",1400,1991,7,3,0,"70.9",1,0,1,0,1,1,2,1,0,650,0,12
"16.11.2011",19326,"Íbúðareign",1400,1988,7,4,0,"102.3",1,0,1,0,1,1,3,1,1,600,0,12
"24.10.2011",22068,"Íbúðareign",1400,2006,7,6,1,"105.1",1,0,1,0,1,1,3,1,1,630,0,12
"15.11.2011",77000,"Einbýlishús",1300,1969,7,1,0,"303.9",2,0,2,1,4,1,6,2,0,560,0,11
"10.11.2011",16382,"Íbúðareign",0,1963,7,4,0,"69.1",1,0,1,0,1,1,1,1,0,100,1,12
"11.11.2011",16579,"Íbúðareign",0,1939,7,2,0,"56.6",1,0,0,1,1,1,2,1,0,90,12,12
"11.11.2011",14116,"Íbúðareign",0,1979,7,9,2,"64.1",1,0,1,0,1,1,1,1,1,170,0,12
"6.10.2011",33645,"Íbúðareign",0,2000,7,5,1,"93.9",1,1,1,0,1,1,2,1,0,72,0,12
"8.11.2011",18225,"Íbúðareign",0,1978,7,4,1,"66.2",1,0,0,1,1,1,1,1,0,11,0,12
"11.11.2011",21082,"Íbúðareign",0,1992,7,3,0,"101.9",1,0,0,1,1,1,3,1,1,130,0,12
"10.11.2011",31289,"Íbúðareign",0,1956,7,4,0,"109.9",1,0,1,0,2,1,3,2,2,72,0,12
"10.11.2011",32000,"Íbúðareign",1100,1967,7,3,0,"123.8",1,0,1,0,1,1,4,1,0,400,0,12
"11.11.2011",23086,"Íbúðareign",0,1954,7,3,0,"81.8",1,0,1,0,1,1,2,2,0,70,0,12
"11.11.2011",26905,"Íbúðareign",0,1981,7,4,0,"87.6",1,1,0,1,1,1,2,1,0,20,0,12
"11.11.2011",46337,"Íbúðareign",1100,2009,7,3,4,"130.3",1,2,1,1,2,1,3,1,0,400,0,12
"11.11.2011",22700,"Íbúðareign",0,1963,7,3,0,"88.6",2,0,1,0,1,1,2,2,1,100,0,12
"11.11.2011",18318,"Íbúðareign",0,1957,7,4,0,73,1,0,1,1,1,1,2,1,0,11,0,12
"11.11.2011",17700,"Íbúðareign",0,1944,7,1,0,"47.3",1,0,1,0,1,1,2,1,1,100,0,12
"10.11.2011",18164,"Íbúðareign",0,1967,7,4,0,"55.1",1,0,1,0,1,1,1,1,1,72,0,12
"14.11.2011",22998,"Íbúðareign",0,1986,7,3,0,"97.4",1,1,1,0,1,1,2,1,1,120,0,12
"9.11.2011",18452,"Íbúðareign",1000,1979,7,8,1,"97.4",1,0,1,0,1,1,3,1,0,320,62,12
"17.11.2011",21959,"Raðhús",7708,1988,7,2,0,117,2,0,1,0,2,1,3,1,0,7210,0,11
"7.11.2011",9582,"Íbúðareign",7708,1982,7,2,0,75,1,0,1,0,1,1,2,1,1,7210,0,11
"15.11.2011",15383,"Íbúðareign",0,1991,7,3,0,"56.6",1,0,0,1,1,1,1,1,1,210,0,12
"14.11.2011",35794,"Einbýlishús",0,1949,7,2,0,"219.8",2,0,1,2,2,2,6,4,0,100,0,11
"11.11.2011",42654,"Raðhús",0,2006,7,2,0,"173.1",2,0,1,1,2,1,3,1,2,130,0,11
"16.11.2011",35499,"Íbúðareign",0,1970,7,3,0,"122.7",1,0,1,1,1,1,4,1,0,280,0,12
"3.11.2011",4969,"Parhús",4200,1928,7,1,0,"92.4",1,0,0,1,1,1,3,1,1,4100,0,11
"17.11.2011",21157,"Raðhús",2000,1984,7,1,0,"118.4",1,0,1,1,1,1,3,1,0,2050,0,11
"16.11.2011",21670,"Raðhús",2000,1999,7,1,0,110,1,0,1,0,1,1,3,1,0,2050,0,11
"18.11.2011",26602,"Íbúðareign",1300,2008,7,2,2,"94.7",1,1,1,1,1,1,1,1,0,511,0,12
"15.11.2011",14763,"Parhús",7620,1988,7,1,0,"79.7",1,0,1,0,1,1,2,1,0,7110,0,11
"15.11.2011",30780,"Einbýlishús",7620,2006,7,2,0,"151.5",2,0,1,1,2,1,4,1,1,7110,0,11
"14.11.2011",21236,"Einbýlishús",7300,1971,7,2,0,130,1,0,0,1,1,1,5,1,0,7130,0,11
"14.11.2011",19236,"Einbýlishús",7300,1989,7,1,0,"124.7",1,0,1,0,1,1,4,1,0,7130,0,11
"9.11.2011",54096,"Íbúðareign",0,1931,7,3,0,"210.3",2,0,2,2,3,1,3,5,0,31,0,12
"16.11.2011",21425,"Íbúðareign",0,1989,7,1,0,"74.4",1,0,1,1,1,1,2,1,1,120,0,11
"11.11.2011",30446,"Íbúðareign",0,2001,7,3,0,100,1,1,1,0,1,1,1,2,1,110,0,12
"22.10.2011",15809,"Íbúðareign",0,1941,7,2,0,"57.3",1,0,0,1,1,1,1,1,1,72,0,12
"14.11.2011",28768,"Íbúðareign",0,1958,7,3,0,"115.2",1,0,1,0,1,1,3,2,0,100,0,12
"16.11.2011",17950,"Íbúðareign",0,1967,7,3,0,"105.2",1,0,1,0,1,1,2,1,0,200,0,12
"8.11.2011",18178,"Íbúðareign",0,1983,7,2,0,"56.2",1,1,1,0,1,1,1,1,1,72,0,12
"15.11.2011",11073,"Ósamþykkt íbúð",0,1946,7,5,0,"36.2",1,0,1,0,1,1,1,1,0,72,0,12
"11.11.2011",30803,"Íbúðareign",0,1956,7,2,0,"117.4",2,0,1,0,1,1,5,2,1,281,0,11
"14.11.2011",22429,"Íbúðareign",0,1948,7,3,0,"82.7",1,0,1,0,1,1,1,2,0,80,0,12
"11.11.2011",13562,"Íbúðareign",0,1967,7,3,0,72,1,0,0,1,1,1,1,1,0,200,0,12
"15.11.2011",20916,"Íbúðareign",0,1967,7,3,0,"125.7",2,0,1,0,1,1,4,1,0,200,0,12
"18.10.2011",27499,"Íbúðareign",1000,1997,7,5,0,"153.3",2,0,1,0,1,1,5,1,1,340,0,12
"15.11.2011",22418,"Íbúðareign",0,1998,7,3,0,"88.3",1,0,1,0,1,1,2,1,1,130,0,12
"15.11.2011",22028,"Íbúðareign",0,1995,7,2,0,"85.2",1,0,1,0,1,1,3,1,1,130,0,12
"2.11.2011",35127,"Íbúðareign",1300,2004,7,4,4,"104.7",1,1,1,0,1,1,3,1,0,510,0,12
"18.11.2011",24943,"Íbúðareign",1400,2001,7,2,0,"108.8",1,0,1,0,1,1,2,1,0,640,0,12
"16.11.2011",12367,"Íbúðareign",0,1953,7,2,0,"37.6",1,0,0,1,1,1,1,1,0,100,1,12
"10.11.2011",12476,"Íbúðareign",0,1973,7,7,1,"57.9",1,0,1,0,1,1,1,1,1,160,0,12
"6.10.2011",29866,"Einbýlishús",3000,1973,7,1,0,"132.8",1,0,1,0,1,1,4,2,0,3000,0,11
"11.11.2011",22936,"Einbýlishús",3714,1967,7,2,0,"210.3",2,0,1,1,2,1,4,3,2,3100,0,11
"20.11.2011",22000,"Einbýlishús",6250,1977,7,1,0,"157.4",2,0,1,1,2,1,5,1,0,6110,0,11
"15.11.2011",21000,"Raðhús",2000,1960,7,2,0,"131.5",2,0,1,0,2,1,4,1,0,2050,0,11
"15.11.2011",29000,"Einbýlishús",2000,1965,7,1,0,"184.2",1,0,1,1,2,1,3,2,0,2050,0,11
"15.11.2011",20916,"Íbúðareign",0,1949,7,2,0,"64.5",1,0,1,0,1,1,2,2,1,70,0,12
"17.11.2011",28130,"Íbúðareign",0,1991,7,5,1,"84.8",1,1,0,1,1,1,2,1,1,280,0,12
"11.11.2011",15550,"Íbúðareign",0,1983,7,6,0,"51.9",1,1,1,0,1,1,1,1,1,72,0,12
"16.11.2011",29196,"Íbúðareign",0,1914,7,2,0,"108.8",1,0,0,1,1,1,2,1,1,25,0,12
"17.11.2011",20975,"Íbúðareign",0,1959,7,8,1,"84.5",1,0,1,0,1,1,2,1,1,100,1,12
"29.9.2011",16000,"Íbúðareign",0,1961,7,9,1,51,1,0,1,0,1,1,1,1,0,90,0,12
"10.11.2011",15013,"Einbýlishús",8710,1989,7,2,0,"117.2",2,0,1,0,2,1,4,1,0,8070,0,11
"8.11.2011",17478,"Raðhús",8716,2004,7,1,0,"86.3",1,0,0,1,1,1,1,1,1,8020,0,11
"16.11.2011",15726,"Parhús",8716,1990,7,1,0,"83.2",1,0,1,0,1,1,2,1,0,8020,0,11
"18.11.2011",22613,"Íbúðareign",1400,1928,7,2,0,"81.8",2,0,1,0,1,1,4,1,0,660,0,11
"18.11.2011",23940,"Íbúðareign",1300,1987,7,2,0,"102.9",1,0,0,1,1,1,2,1,0,500,0,12
"18.11.2011",36388,"Einbýlishús",1300,1964,7,1,0,115,1,0,1,0,2,1,4,2,0,500,0,11
"16.11.2011",15701,"Íbúðareign",1000,1979,7,8,1,"78.1",1,0,1,0,1,1,2,1,0,320,62,12
"17.11.2011",39424,"Íbúðareign",1000,2005,7,2,0,"134.3",1,0,0,1,2,1,4,1,1,350,0,11
"16.11.2011",25335,"Einbýlishús",7620,1994,7,1,0,"116.1",1,0,1,1,1,1,4,1,0,7110,0,11
"18.11.2011",20804,"Íbúðareign",1400,1947,7,3,0,"103.2",2,0,1,0,1,1,4,1,0,600,0,12
"15.11.2011",50522,"Raðhús",0,1960,7,2,0,"200.1",3,0,1,0,3,1,5,1,0,100,55,11
"16.11.2011",17717,"Íbúðareign",0,1995,7,2,0,"72.2",1,0,1,0,1,1,2,1,1,130,0,12
