"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2015-10-01 18:00:00",30.35,7162150
"2015-10-02 18:00:00",30.7,42173046
"2015-10-05 18:00:00",31,1621497
"2015-10-06 18:00:00",30.85,2431192
"2015-10-07 18:00:00",31.35,31701325
"2015-10-08 18:00:00",31.25,3719689
"2015-10-09 18:00:00",31.45,12102336
"2015-10-12 18:00:00",31.4,3730329
"2015-10-13 18:00:00",31.7,13549790
"2015-10-14 18:00:00",31.95,22020268
"2015-10-15 18:00:00",31.9,163200
"2015-10-16 18:00:00",32.1,14471619
"2015-10-19 18:00:00",32,11128742
"2015-10-20 18:00:00",32.25,10454297
"2015-10-21 18:00:00",32,4623410
"2015-10-22 18:00:00",32.15,12208147
"2015-10-23 18:00:00",32.375,15001948
"2015-10-26 18:00:00",33.55,52351478
"2015-10-27 18:00:00",33.7,18875615
"2015-10-28 18:00:00",34.05,11405671
"2015-10-29 18:00:00",34.25,16486972
"2015-10-30 18:00:00",34.5,23231910
"2015-11-02 18:00:00",34.2,11190180
"2015-11-03 18:00:00",34.1,20008491
"2015-11-04 18:00:00",34.65,40141856
"2015-11-05 18:00:00",34.65,32815578
"2015-11-06 18:00:00",34.5,25629419
"2015-11-09 18:00:00",34.5,6107019
"2015-11-10 18:00:00",34.55,3871443
"2015-11-11 18:00:00",33.45,28816601
"2015-11-12 18:00:00",33.45,18918086
"2015-11-13 18:00:00",34.2,38412538
"2015-11-16 18:00:00",33.6,5621500
"2015-11-17 18:00:00",33.15,19977245
"2015-11-18 18:00:00",33,18514500
"2015-11-19 18:00:00",32.65,13981085
"2015-11-20 18:00:00",32.85,2299776
"2015-11-23 18:00:00",33.3,27657500
"2015-11-24 18:00:00",31.95,65155991
"2015-11-25 18:00:00",31.6,78998340
"2015-11-26 18:00:00",32,17348300
"2015-11-27 18:00:00",32,1211000
"2015-11-30 18:00:00",31.95,10350800
"2015-12-01 18:00:00",31.8,1720886
"2015-12-02 18:00:00",32,7981870
"2015-12-03 18:00:00",32.7,19004243
"2015-12-04 18:00:00",32.85,13200600
"2015-12-07 18:00:00",33,6085150
"2015-12-08 18:00:00",33.9,12685128
"2015-12-09 18:00:00",34.05,3039620
"2015-12-10 18:00:00",33.825,3946400
"2015-12-11 18:00:00",34,3431834
"2015-12-14 18:00:00",34.75,56699919
"2015-12-15 18:00:00",34.5,5778786
"2015-12-16 18:00:00",35,23014445
"2015-12-17 18:00:00",35.2,11094474
"2015-12-18 18:00:00",35,1891189
"2015-12-21 18:00:00",35.1,8122109
"2015-12-22 18:00:00",35.15,2486153
"2015-12-23 18:00:00",35.25,7776000
"2015-12-28 18:00:00",34.95,4711848
"2015-12-29 18:00:00",34.9,3389700
"2015-12-30 18:00:00",35.4,19204216
"2016-01-04 18:00:00",35.95,31730037
"2016-01-05 18:00:00",36.35,29263877
"2016-01-06 18:00:00",37.1,55767612
"2016-01-07 18:00:00",36.65,21009539
"2016-01-08 18:00:00",36.75,24092684
"2016-01-11 18:00:00",35.8,14310832
"2016-01-12 18:00:00",35.8,23961968
"2016-01-13 18:00:00",35.35,21578150
"2016-01-14 18:00:00",33.9,36500937
"2016-01-15 18:00:00",32.65,41637412
"2016-01-18 18:00:00",32.7,54008021
"2016-01-19 18:00:00",33.9,29431616
